Date,Open,High,Low,Close,Adj Close,Volume
2017-03-03,67.500000,68.145164,67.437279,68.028671,58.976295,3589614
2017-03-06,67.840500,67.930107,67.535843,67.697136,58.688869,2165933
2017-03-07,66.093193,66.801079,65.958778,66.639786,57.772221,4703159
2017-03-08,66.388885,66.818993,66.362007,66.541222,57.686771,3899304
2017-03-09,66.702507,67.383514,66.666664,67.302864,58.347069,3478460
2017-03-10,67.410393,67.840500,67.222221,67.741936,58.727711,3359048
2017-03-13,67.786736,67.867386,67.383514,67.750893,58.735481,2535887
2017-03-14,67.168457,67.473122,67.114693,67.258064,58.308228,3989477
2017-03-15,66.971329,67.759857,66.836922,67.715057,58.704407,4202856
2017-03-16,67.616486,67.840500,67.491035,67.804657,58.782089,2337462
2017-03-17,67.876343,68.082436,67.697136,67.697136,58.688869,1962374
2017-03-20,68.091400,68.252686,67.813622,67.813622,58.789860,1604473
2017-03-21,68.001793,68.055557,66.568100,66.657707,57.787754,4178639
2017-03-22,66.657707,66.693550,66.263443,66.478493,57.632393,3651775
2017-03-23,66.711472,67.105736,66.612900,66.693550,57.818829,2379982
2017-03-24,66.541222,66.747314,66.370972,66.639786,57.772221,1827338
2017-03-27,67.034050,67.491035,67.007172,67.293907,58.339302,2096741
2017-03-28,67.374550,67.464157,67.051971,67.051971,58.129562,2158456
2017-03-29,67.078850,67.302864,67.043015,67.069893,58.145096,2034356
2017-03-30,67.231186,67.491035,66.917564,66.989250,58.075184,2048976
2017-03-31,66.872757,66.881721,66.532257,66.550179,57.694538,1691856
2017-04-03,66.711472,66.908600,66.379929,66.666664,57.795528,1572779
2017-04-04,66.621864,67.150536,66.541222,66.998207,58.082947,2056342
2017-04-05,66.505379,66.881721,66.084229,66.102150,57.306126,2960078
2017-04-06,66.397850,66.424728,65.994621,66.048386,57.259518,1678129
2017-04-07,66.003586,66.335129,65.940857,66.057350,57.267292,1310519
2017-04-10,66.146950,66.182793,65.869179,65.869179,57.104156,2662553
2017-04-11,66.379929,66.433693,66.012543,66.272400,57.453724,1864278
2017-04-12,66.344086,66.478493,66.102150,66.317207,57.492569,1471223
2017-04-13,65.860214,66.021507,65.519714,65.546593,56.824497,2545931
2017-04-17,65.483871,65.878136,65.412186,65.707886,56.964329,1467317
2017-04-18,65.573479,65.591400,65.161293,65.349464,56.653599,2639340
2017-04-19,65.385307,65.636200,65.116486,65.179214,56.506004,1579586
2017-04-20,66.209679,66.227600,65.806450,65.967743,57.189610,4397040
2017-04-21,66.012543,66.155914,65.689964,65.770607,57.018703,2596151
2017-04-24,66.684586,66.890678,66.362007,66.854836,57.958660,3324676
2017-04-25,68.360214,68.611115,67.930107,68.315414,59.224876,3984901
